date,text,source,url,compound,positive,neutral,negative,normalized
2021-03-06,"Having spent the first 20 years of his career in software development, Jake Ryan has had no difficulty wrapping his head around the world of cryptocurrency and blockchain technology.
Still, it took … [+4677 chars]",Business Insider,https://www.businessinsider.com/bitcoin-outlook-market-cap-hedge-fund-cio-emerging-crypto-assets-2021-3,-0.5574,0.0,0.874,0.126,-1
2021-03-07,"NFT art has suddenly dominated headlines across the world, and it's impact on the ""traditional"" art scene may be here to stay.
NFTs, or non-fungible tokens, are more straightforward than they sound.… [+6346 chars]",Business Insider,https://www.businessinsider.com/nft-artists-make-millions-traditional-galleries-adapt-cryptoart-2021-3,0.0,0.0,1.0,0.0,0
2021-03-08,"You should've known something was changing when Lil Miquela, with her eerily human face and literally infinite wardrobe, graced your Instagram feed. You really should've known something was up when L… [+5997 chars]",Business Insider,https://www.businessinsider.com/nft-startups-non-fungible-tokens-the-art-world-2021-3,0.2263,0.056,0.944,0.0,1
2021-03-08,"REUTERS/Mike Stone 
Billionaire Mark Cuban announced on Saturday the Dallas Mavericks have completed more than 20,000 transactions in Dogecoin, making his NBA team the largest merchant of the meme-b… [+1447 chars]",Business Insider,https://www.businessinsider.com/mark-cuban-dogecoin-dallas-mavericks-largest-merchant-price-prediction-2021-3,0.0,0.0,1.0,0.0,0
2021-03-09,"The Nasdaq 100 had its best trading session since April 2020, surging more than 3.7% after entering correction territory on Monday. The Nasdaq 100 was down more than 10% from its mid-February high on… [+1931 chars]",Business Insider,https://www.businessinsider.com/stock-market-news-today-nasdaq-rebound-bond-yields-decline-2021-3,0.6369,0.107,0.893,0.0,1
2021-03-09,"Bitcoin hit a $1 trillion market capitalization for the second time early Tuesday as the price of the world's most popular cryptocurrency rallied to a two-week high. 
The cryptocurrency climbed abov… [+2186 chars]",Business Insider,https://www.businessinsider.com/bitcoin-price-market-cap-reclaims-1-trillion-ether-cryptocurrency-2021-3,0.4754,0.093,0.907,0.0,1
2021-03-09,"US stock-index futures rose on Tuesday as bond yields eased, after a sharp sell-off in technology stocks put the Nasdaq into correction territory on Monday.
Futures for the tech-heavy Nasdaq 100 wer… [+2851 chars]",Business Insider,https://www.businessinsider.com/stock-markets-today-us-tech-futures-bond-yields-treasuries-2021-3,0.296,0.064,0.936,0.0,1
2021-03-09,"It's been a volatile couple of weeks for bitcoin investors after the price dropped by more than a quarter from highs of around $54,000 to $45,000 in just one week. This was following a stellar 206% s… [+4307 chars]",Business Insider,https://www.businessinsider.com/greg-king-bitcoin-bulli-outlook-investing-strategy-etf-investment-trust-2021-2,0.0,0.0,1.0,0.0,0
2021-03-09,"Mo Ghoneim was just 16 years old when he wrote his first television show a pilot in which teenagers discuss issues impacting them. He sent the idea to various networks in his home city of Toronto, Ca… [+5621 chars]",Business Insider,https://www.businessinsider.com/arts-help-mo-ghoneim-sophie-brussaux-use-social-media-2021-3,0.0,0.0,1.0,0.0,0
2021-03-09,"US tech stocks staged a rebound on Tuesday after falling into correction territory on Monday, as movements in bond yields continued to have an outsized influence on the sector.
The Nasdaq 100 traded… [+1552 chars]",Business Insider,https://www.businessinsider.com/stock-market-news-today-tech-stocks-rebound-bond-yields-fall-2021-3,-0.1531,0.0,0.954,0.046,-1
